campanha_mais_drastica	dia_contato	num_pagamentos_parciais_diario	vlr_saldo_devedor	juros_mes	perc_retencao	comunicacao_efetiva	mes_comunicado	dia_do_mes_comunicado	lag_1_var_agg_qtd_transacoes_sum	lag_1_var_agg_vlr_pgto_realizado_sum	lag_1_var_agg_vlr_tpv_sum	lag_1_var_agg_duracao_ciclo	lag_1_var_agg_num_pagamentos_parciais	lag_1_var_agg_campanha_mais_drastica_ciclo	lag_1_var_agg_vlr_saldo_devedor_inicial	lag_1_var_agg_vlr_saldo_devedor_final	lag_1_prazo	lag_1_juros_mes	lag_1_perc_retencao	lag_1_var_agg_duracao_ciclo_normalizado	lag_1_spread_vlr_saldo_devedor	lag_2_var_agg_qtd_transacoes_sum	lag_2_var_agg_vlr_pgto_realizado_sum	lag_2_var_agg_vlr_tpv_sum	lag_2_var_agg_duracao_ciclo	lag_2_var_agg_num_pagamentos_parciais	lag_2_var_agg_campanha_mais_drastica_ciclo	lag_2_var_agg_vlr_saldo_devedor_inicial	lag_2_var_agg_vlr_saldo_devedor_final	lag_2_prazo	lag_2_juros_mes	lag_2_perc_retencao	lag_2_var_agg_duracao_ciclo_normalizado	lag_2_spread_vlr_saldo_devedor	lag_3_var_agg_qtd_transacoes_sum	lag_3_var_agg_vlr_pgto_realizado_sum	lag_3_var_agg_vlr_tpv_sum	lag_3_var_agg_duracao_ciclo	lag_3_var_agg_num_pagamentos_parciais	lag_3_var_agg_campanha_mais_drastica_ciclo	lag_3_var_agg_vlr_saldo_devedor_inicial	lag_3_var_agg_vlr_saldo_devedor_final	lag_3_prazo	lag_3_juros_mes	lag_3_perc_retencao	lag_3_var_agg_duracao_ciclo_normalizado	lag_3_spread_vlr_saldo_devedor	tipo_empresa	estado	subsegmento
1	8	1	26063,75	0,05988	0,18	TRUE	2	15	66	589	2110	7	4	0	-233,239999999998	26223,65	25,65	0,05988	0,18	1,16666666666667	221,120000000003	66	121,58	2359	6	2	0	-564,329999999998	26515,26	25,65	0,05988	0,18	1	181,639999999999	67	584,98	2612,25	14	4	0	-658,489999999998	26688,43	25,65	0,05988	0,18	2,33333333333333	260,650000000001	PF	SP	Lojas Diversas
1	2	1	1246,97	0,10788	0,06	FALSE	9	22	5	142,85	2900	6	1	0	-210,4	1474,81	25,65	0,10788	0,06	0,521739130434783	21,02	3	203,3	1925	7	1	0	-321,5	1592,08	25,65	0,10788	0,06	0,608695652173913	27,1899999999998	1	183,79	2600	8	1	0	-484,68	1763,13	25,65	0,10788	0,06	0,695652173913044	35,0600000000002	PF	BA	Material de Construcao
1	8	1	776,68	0,10788	0,06	FALSE	10	20	2	235,66	1495	18	1	1	-482,17	1305,55	25,65	0,10788	0,06	1,56521739130435	62,1599999999999	5	142,85	2900	6	1	0	-692,57	1474,81	25,65	0,10788	0,06	0,521739130434783	21,02	3	203,3	1925	7	1	0	-803,67	1592,08	25,65	0,10788	0,06	0,608695652173913	27,1899999999998	PF	BA	Material de Construcao
2	11	1	669,28	0,10788	0,06	FALSE	11	5	2	436,27	1670	13	1	1	-110,87	787,9	25,65	0,10788	0,06	1,1304347826087	26,68	2	235,66	1495	18	1	1	-593,04	1305,55	25,65	0,10788	0,06	1,56521739130435	62,1599999999999	5	142,85	2900	6	1	0	-803,44	1474,81	25,65	0,10788	0,06	0,521739130434783	21,02	PF	BA	Material de Construcao
3	16	1	678,96	0,10788	0,06	FALSE	11	10	2	436,27	1670	13	1	1	-110,87	787,9	25,65	0,10788	0,06	1,1304347826087	26,68	2	235,66	1495	18	1	1	-593,04	1305,55	25,65	0,10788	0,06	1,56521739130435	62,1599999999999	5	142,85	2900	6	1	0	-803,44	1474,81	25,65	0,10788	0,06	0,521739130434783	21,02	PF	BA	Material de Construcao
1	8	1	456,89	0,10788	0,06	TRUE	11	30	3	139,81	3332	28	1	3	-202,55	702,74	25,65	0,10788	0,06	2,43478260869565	52,39	2	436,27	1670	13	1	1	-313,42	787,9	25,65	0,10788	0,06	1,1304347826087	26,68	2	235,66	1495	18	1	1	-795,59	1305,55	25,65	0,10788	0,06	1,56521739130435	62,1599999999999	PF	BA	Material de Construcao
1	6	1	331,64	0,10788	0,06	FALSE	12	8	1	256,96	1600	10	1	1	-120,88	459,51	25,65	0,10788	0,06	0,869565217391304	11,71	3	139,81	3332	28	1	3	-323,43	702,74	25,65	0,10788	0,06	2,43478260869565	52,39	2	436,27	1670	13	1	1	-434,3	787,9	25,65	0,10788	0,06	1,1304347826087	26,68	PF	BA	Material de Construcao
2	13	1	338,36	0,10788	0,06	FALSE	12	15	1	256,96	1600	10	1	1	-120,88	459,51	25,65	0,10788	0,06	0,869565217391304	11,71	3	139,81	3332	28	1	3	-323,43	702,74	25,65	0,10788	0,06	2,43478260869565	52,39	2	436,27	1670	13	1	1	-434,3	787,9	25,65	0,10788	0,06	1,1304347826087	26,68	PF	BA	Material de Construcao
1	16	10	7830,12	0,04788	0,168	TRUE	10	6	0	48,26	0	5	3	0	-698,78	8489,86	25,65	0,04788	0,168	1,66666666666667	32,5200000000004	0	48,08	0	5	3	0	-1304,15	9092,94	25,65	0,04788	0,168	1,66666666666667	30,2300000000014	25	87,41	997,4	7	2	0	-4565,84	12359,74	25,65	0,04788	0,168	2,33333333333333	35,3400000000002	PF	ES	Lojas Diversas
1	12	3	14081,46	0,04788	0,168	FALSE	12	27	0	297,11	0	15	7	0	-593,960000000001	14623,97	25,65	0,04788	0,168	3,75	43,1799999999985	0	108,39	0	5	2	0	-2484,95	16497,93	25,65	0,04788	0,168	1,25	26,1500000000015	0	158,48	0	6	3	0	-3280,53	17278,03	25,65	0,04788	0,168	1,5	10,6699999999983	PJ	RJ	Academias
